Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","1997","1997","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","1998","1998","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","1999","1999","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2000","2000","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2001","2001","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2002","2002","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2003","2003","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2004","2004","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2005","2005","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2006","2006","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2007","2007","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2008","2008","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2009","2009","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2010","2010","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2011","2011","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2012","2012","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2013","2013","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2014","2014","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6981","Inland water bodies","2015","2015","1000 ha","0.081","FC","Calculated data"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2001","2001","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2002","2002","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2003","2003","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2004","2004","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2005","2005","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2006","2006","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2007","2007","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2008","2008","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2009","2009","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2010","2010","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2011","2011","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2012","2012","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2013","2013","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2014","2014","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2015","2015","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2016","2016","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2017","2017","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1992","1992","1000 ha","","NV","Data not available"
