"Flag","Flags"
"A","Aggregate, may include official, semi-official, estimated or calculated data"
"C","Calculated"
"Fc","Calculated data"
"M","Data not available"
"Im","FAO data based on imputation methodology"
"F","FAO estimate"
"","Official data"
"/","Symbol for indigenous or liveweight meat"
"T","Trend"
"*","Unofficial figure"
